SID,LSTG,dprime,condition
1,0.3072097524,0.8241947791,1
2,-0.185567491,-0.2023603751,1
3,-0.1689809106,0.1966471112,1
4,0.4275651147,0.2247470142,1
5,1.124760384,-0.5214901458,1
6,-0.2661514899,1.932988654,1
7,1.034343364,0.826823549,1
8,0.3099743214,1.322907385,1
9,2.140205201,0.2855954263,1
10,0.2520554886,0.7718414503,1
11,0.5103511514,1.69948004,1
12,0.02628062791,1.104705773,1
13,0.5619982628,0.6173353773,1
14,-0.1041606286,1.335356057,1
1,-0.1908148938,2.391991306,2
2,-0.2931169016,1.903532175,2
3,0.5030965671,2.779762343,2
4,-0.03575133893,2.89125537,2
5,0.3086321138,1.091608541,2
6,0.2299423528,2.560602559,2
7,1.182259666,1.411998631,2
8,-0.2088819893,1.666962911,2
9,2.011409958,1.728108141,2
10,-0.167055584,-0.2892164133,2
11,0.1236805323,2.622572744,2
12,-0.223483615,2.207130407,2
13,0.5729247205,1.693533791,2
14,-0.07148268908,2.320515768,2