SID,RSTG,dprime,condition
1,0.3490232206,0.8241947791,1
2,-0.0004351745406,-0.2023603751,1
3,-0.024447382,0.1966471112,1
4,0.1274924382,0.2247470142,1
5,1.409039383,-0.5214901458,1
6,-0.1612060242,1.932988654,1
7,0.7419423902,0.826823549,1
8,0.319396365,1.322907385,1
9,1.78714297,0.2855954263,1
10,0.07379615984,0.7718414503,1
11,0.8806402259,1.69948004,1
12,-0.1085928006,1.104705773,1
13,1.073197329,0.6173353773,1
14,0.509765203,1.335356057,1
1,0.1523003957,2.391991306,2
2,-0.2171858943,1.903532175,2
3,0.2342251469,2.779762343,2
4,0.02779733732,2.89125537,2
5,0.3616747255,1.091608541,2
6,0.2516107422,2.560602559,2
7,0.8168791399,1.411998631,2
8,0.1298757415,1.666962911,2
9,1.95925254,1.728108141,2
10,-0.2222533595,-0.2892164133,2
11,0.1601221459,2.622572744,2
12,-0.394854292,2.207130407,2
13,1.112394385,1.693533791,2
14,0.05232980729,2.320515768,2