SID,L_cIFS,dprime,condition
1,0.01209475696,2.741992987,1
2,0.7426641095,2.876528877,1
3,0.226405296,1.960296735,1
4,0.07618117812,2.119657637,1
5,0.9362653105,2.790247465,1
6,0.7662958398,2.860515856,1
7,0.1382302745,2.358837482,1
8,0.4604966587,3.285341439,1
9,0.3679827637,2.68552568,1
10,-0.2555067913,3.014326014,1
11,-0.01738821002,-0.8269106877,1
12,0.1652582194,1.420753756,1
13,1.055191963,2.526810736,1
14,0.1978985863,3.406907825,1
1,0.06938863676,3.344920943,2
2,0.2417305899,3.408898301,2
3,-0.008022146779,3.428596912,2
4,-0.02348206064,3.333747078,2
5,0.03364384635,2.551055032,2
6,0.3890665506,3.628221664,2
7,-1.746820889,3.254694204,2
8,0.04055651338,3.413698746,2
9,0.1596797907,3.348359243,2
10,0.01887160124,3.353542458,2
11,-0.4532568531,3.464440715,2
12,0.1509152699,3.323873549,2
13,0.189746691,3.43344209,2
14,0.1453125996,3.315830323,2