SID,R_cIFS,dprime,condition
1,0.2272711439,2.741992987,1
2,0.6847024034,2.876528877,1
3,0.4062737377,1.960296735,1
4,-0.02977810497,2.119657637,1
5,0.7472250043,2.790247465,1
6,0.7866067726,2.860515856,1
7,0.3874573806,2.358837482,1
8,0.4542826042,3.285341439,1
9,0.4115253392,2.68552568,1
10,-0.08938365627,3.014326014,1
11,-0.0868738045,-0.8269106877,1
12,-0.01416998599,1.420753756,1
13,1.188858845,2.526810736,1
14,0.2908743418,3.406907825,1
1,0.1307218845,3.344920943,2
2,0.2004669624,3.408898301,2
3,0.08221038804,3.428596912,2
4,-0.05266119544,3.333747078,2
5,-0.01406879362,2.551055032,2
6,0.4328153584,3.628221664,2
7,-1.06586104,3.254694204,2
8,0.1335588918,3.413698746,2
9,0.2137515871,3.348359243,2
10,0.07781616261,3.353542458,2
11,-0.1430211566,3.464440715,2
12,0.3521252004,3.323873549,2
13,0.2854503043,3.43344209,2
14,-0.08670289343,3.315830323,2